customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST00064,Male,0,No,Yes,29,Yes,Yes,DSL,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,78.31,2294.4250387294624,No
CUST00065,Female,0,No,Yes,71,Yes,Yes,Fiber optic,No,No,No,No,No internet service,No internet service,Two year,Yes,Mailed check,113.59,8073.15387473936,No
CUST00066,Female,0,Yes,Yes,2,No,No,No,No,Yes,No internet service,No,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),106.76,191.7776116187576,Yes
CUST00067,Male,0,Yes,Yes,13,Yes,Yes,Fiber optic,No,No,No,No,No internet service,No internet service,Month-to-month,No,Mailed check,53.26,681.2322375740048,No
CUST00068,Female,1,No,No,59,No,Yes,Fiber optic,No internet service,Yes,Yes,Yes,No,No internet service,Month-to-month,No,Credit card (automatic),28.46,1691.8836665081444,No
CUST00069,Female,0,No,No,44,Yes,Yes,DSL,Yes,No internet service,No internet service,Yes,Yes,No,One year,Yes,Credit card (automatic),114.43,5018.397669969193,No
CUST00070,Female,0,Yes,Yes,33,Yes,No,Fiber optic,No internet service,No,No internet service,Yes,Yes,No,Two year,No,Bank transfer (automatic),71.73,2341.751665248723,No
CUST00071,Female,0,No,Yes,44,Yes,No phone service,Fiber optic,No,No,No internet service,No internet service,No internet service,No,Month-to-month,No,Mailed check,27.44,1217.2063425120832,No
CUST00072,Male,0,Yes,Yes,60,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,No,No internet service,Yes,One year,Yes,Mailed check,101.66,6098.63274726831,No
CUST00073,Female,0,Yes,Yes,15,No,No,DSL,No,Yes,No,No internet service,Yes,No internet service,One year,No,Electronic check,106.85,1598.5316192038576,No
CUST00074,Male,1,Yes,No,65,Yes,No,No,No internet service,Yes,No,Yes,No,No internet service,One year,Yes,Credit card (automatic),83.94,5478.296038713046,No
CUST00075,Female,1,No,Yes,39,Yes,No,No,No internet service,No,No internet service,No,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),64.75,2547.026161673007,No
CUST00076,Female,0,No,No,16,Yes,No phone service,Fiber optic,No,No internet service,No,Yes,No,No internet service,Two year,Yes,Mailed check,86.22,1415.142359814786,No
CUST00077,Female,1,Yes,Yes,33,No,Yes,DSL,No internet service,No internet service,No internet service,No,Yes,No,Month-to-month,Yes,Electronic check,90.67,2979.081764199872,No
CUST00078,Male,0,Yes,No,15,Yes,No,Fiber optic,Yes,Yes,No internet service,No,Yes,Yes,One year,Yes,Bank transfer (automatic),109.3,1648.0946716178019,No
CUST00079,Female,0,Yes,Yes,59,Yes,No phone service,No,No internet service,No internet service,Yes,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),115.59,6820.1901694111475,No
CUST00080,Male,0,Yes,Yes,65,Yes,No,DSL,No internet service,Yes,No internet service,No internet service,No,Yes,Month-to-month,Yes,Credit card (automatic),71.43,4649.716316634907,No
CUST00081,Female,1,Yes,No,65,Yes,No,No,Yes,No internet service,No,Yes,No internet service,Yes,Two year,Yes,Mailed check,99.85,6467.562376484302,No
CUST00082,Male,0,No,Yes,12,Yes,No,No,No,No,No internet service,No internet service,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),116.45,1369.3505333112957,No
CUST00083,Female,0,Yes,Yes,55,Yes,No,DSL,Yes,Yes,Yes,No internet service,No,No,Month-to-month,Yes,Electronic check,35.12,1930.795677275424,No
CUST00084,Male,0,No,Yes,30,Yes,No,DSL,No internet service,No internet service,No,No internet service,No internet service,No internet service,One year,No,Electronic check,21.83,638.049748200518,No
CUST00085,Male,0,Yes,No,33,Yes,No phone service,Fiber optic,No,No,Yes,No,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),106.9,3546.464152411026,No
CUST00086,Female,0,No,Yes,38,Yes,Yes,Fiber optic,No internet service,No internet service,Yes,No internet service,No internet service,No,Month-to-month,Yes,Electronic check,39.53,1472.126452652828,No
CUST00087,Male,0,No,Yes,66,No,Yes,No,No internet service,No,No internet service,Yes,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),24.25,1572.1359822550744,No
CUST00088,Female,0,No,No,7,Yes,Yes,DSL,Yes,No,Yes,No,No internet service,No internet service,Month-to-month,No,Electronic check,36.01,243.73675049502287,Yes
CUST00089,Female,0,No,No,54,Yes,Yes,DSL,Yes,No internet service,Yes,No,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),58.41,3123.3784998813417,No
CUST00090,Female,0,No,No,26,Yes,No phone service,Fiber optic,No,No internet service,No,No internet service,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),41.93,1123.7000626419467,No
CUST00091,Female,0,No,Yes,52,Yes,No phone service,No,No,No,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),50.53,2623.901652521274,No
CUST00092,Female,0,Yes,Yes,38,Yes,No phone service,No,No,No,No internet service,Yes,No internet service,Yes,Month-to-month,Yes,Electronic check,117.53,4454.08398589272,No
CUST00093,Female,0,No,Yes,64,Yes,No,Fiber optic,No internet service,No,No internet service,Yes,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),90.44,5797.519280512526,No
CUST00094,Female,1,Yes,No,16,Yes,No,DSL,Yes,Yes,No internet service,No,Yes,No,Month-to-month,No,Credit card (automatic),91.22,1477.1969707204148,No
CUST00095,Female,0,No,Yes,29,No,No,Fiber optic,Yes,No,Yes,No internet service,No,Yes,Month-to-month,Yes,Bank transfer (automatic),29.47,858.7691780216857,No
CUST00096,Female,0,No,Yes,52,Yes,Yes,Fiber optic,Yes,Yes,No,No internet service,No,No,One year,No,Mailed check,93.21,4845.558170142159,No
CUST00097,Female,0,Yes,No,12,No,No,Fiber optic,No,No,No internet service,No,No internet service,No internet service,One year,Yes,Mailed check,93.93,1107.4905415059175,No
CUST00098,Female,0,No,No,20,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),85.97,1732.0181863784244,No
CUST00099,Male,0,Yes,No,18,Yes,No,DSL,Yes,No,No internet service,No,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),42.84,799.454061803724,No
CUST00100,Male,0,Yes,No,52,Yes,Yes,Fiber optic,Yes,No,No internet service,No internet service,No,No,Month-to-month,Yes,Mailed check,62.3,3235.205604902654,No
CUST00101,Female,0,Yes,No,18,Yes,No,DSL,No,No,No,No internet service,No,Yes,One year,No,Bank transfer (automatic),104.63,1866.3642899937795,No
CUST00102,Female,0,Yes,Yes,56,Yes,No,Fiber optic,Yes,No internet service,No internet service,No,No internet service,Yes,One year,Yes,Mailed check,87.02,4876.749915350014,No
CUST00103,Female,0,No,No,24,Yes,No phone service,No,No,No internet service,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,93.28,2238.772997880011,No
CUST00104,Female,0,No,Yes,30,Yes,No,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,78.74,2337.872952348519,No
CUST00105,Female,0,Yes,Yes,54,Yes,No,No,Yes,Yes,No internet service,Yes,No internet service,No,One year,No,Credit card (automatic),64.96,3497.7862260158404,No
CUST00106,Female,0,No,No,22,Yes,No phone service,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),95.91,2145.7897153595654,No
CUST00107,Female,0,No,No,31,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No internet service,Two year,No,Bank transfer (automatic),26.79,803.5389026578181,No
CUST00108,Female,0,Yes,No,61,Yes,No phone service,Fiber optic,No,No internet service,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),87.32,5312.707592931511,No
CUST00109,Male,0,No,Yes,9,No,No phone service,DSL,Yes,Yes,No internet service,Yes,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),119.72,1058.5057325095247,Yes
CUST00110,Female,0,Yes,No,71,Yes,Yes,No,No internet service,No internet service,No,Yes,No,Yes,Month-to-month,No,Electronic check,98.02,6942.214003156168,No
CUST00111,Male,0,Yes,No,53,Yes,No,DSL,No,Yes,No internet service,Yes,No internet service,No,One year,Yes,Electronic check,49.06,2591.2704721168097,No
CUST00112,Female,0,No,No,51,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,Two year,No,Mailed check,47.78,2445.7476420292255,No
CUST00113,Female,0,No,No,19,Yes,No,Fiber optic,Yes,No internet service,No,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),86.72,1673.8512506124227,No
CUST00114,Male,1,No,No,31,Yes,No,No,No internet service,Yes,Yes,No,No internet service,Yes,Month-to-month,No,Electronic check,109.59,3401.356431878566,No
CUST00115,Female,1,Yes,Yes,13,No,Yes,Fiber optic,Yes,No,No,Yes,No internet service,Yes,Month-to-month,Yes,Electronic check,77.79,997.5823635767294,No
CUST00116,Male,0,Yes,Yes,49,Yes,No phone service,DSL,No,No,No internet service,No,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),72.74,3595.058302917806,No
CUST00117,Female,0,No,Yes,27,Yes,Yes,Fiber optic,No,No,No,Yes,No internet service,No internet service,Month-to-month,Yes,Mailed check,36.04,931.7087295799165,No
CUST00118,Female,0,No,No,52,Yes,No,No,Yes,No internet service,No internet service,No,No,No internet service,One year,Yes,Mailed check,91.55,4774.069563056242,No
CUST00119,Male,0,No,No,23,Yes,Yes,Fiber optic,Yes,No internet service,Yes,No,No internet service,No,Month-to-month,Yes,Mailed check,90.23,2054.754827619424,No
CUST00120,Female,0,No,No,21,Yes,Yes,No,No internet service,No,No,Yes,No internet service,No,Month-to-month,No,Mailed check,116.7,2449.6815364507265,No
CUST00121,Male,0,Yes,Yes,29,Yes,No,No,No internet service,No internet service,Yes,Yes,Yes,No,One year,No,Electronic check,50.02,1461.8419985510147,No
CUST00122,Female,0,No,No,62,Yes,No phone service,Fiber optic,No,Yes,No,No,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),95.64,5897.572477805671,No
CUST00123,Male,0,Yes,No,3,Yes,Yes,DSL,No internet service,No,No internet service,No,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),63.41,193.06307636502035,Yes
CUST00124,Male,0,Yes,No,58,Yes,No,Fiber optic,No internet service,No,No,No,No,No internet service,Month-to-month,No,Electronic check,75.85,4403.66954135827,No
CUST00125,Female,0,No,Yes,7,Yes,No,DSL,No,No internet service,No,No internet service,No,No,Two year,No,Electronic check,101.65,740.7967536432673,No
CUST00126,Female,0,No,No,11,No,Yes,DSL,No,No,No internet service,Yes,No internet service,No internet service,One year,No,Electronic check,42.2,518.5029863444504,No
CUST00127,Male,0,No,Yes,30,Yes,No phone service,Fiber optic,No,Yes,No internet service,No internet service,No,No,Month-to-month,Yes,Credit card (automatic),54.29,1597.640603885249,No
CUST00128,Female,0,Yes,No,33,Yes,Yes,DSL,No,No internet service,No internet service,No internet service,No internet service,No,Month-to-month,No,Bank transfer (automatic),97.33,3240.2330736766507,No
CUST00129,Female,0,No,Yes,48,Yes,No phone service,DSL,Yes,No internet service,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),77.05,3697.6423953172043,No
CUST00130,Female,0,No,Yes,56,Yes,No phone service,Fiber optic,No,No,Yes,Yes,No internet service,Yes,One year,Yes,Bank transfer (automatic),29.24,1621.268575217358,No
CUST00131,Male,1,Yes,Yes,25,Yes,No phone service,Fiber optic,No,No,No,No internet service,No internet service,Yes,One year,No,Mailed check,63.02,1582.8810634051033,No
CUST00132,Male,0,No,No,17,Yes,No phone service,Fiber optic,No,No,No,Yes,Yes,No,Two year,No,Electronic check,78.66,1311.1741720862735,No
CUST00133,Male,0,Yes,No,37,Yes,Yes,DSL,No internet service,No internet service,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,110.95,4080.29774732392,No
CUST00134,Male,0,No,Yes,49,Yes,No,No,No,No,No internet service,No,Yes,Yes,Two year,Yes,Electronic check,38.85,1868.9468272353683,No
CUST00135,Male,0,Yes,Yes,7,Yes,No,DSL,Yes,Yes,No,No internet service,Yes,Yes,Two year,No,Credit card (automatic),100.6,715.1217802024645,No
CUST00136,Male,0,No,No,40,Yes,No,No,Yes,No,Yes,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),33.06,1328.9402365003864,No
CUST00137,Male,0,No,No,5,Yes,No,Fiber optic,No,No,No internet service,Yes,No,No,One year,Yes,Electronic check,44.22,204.8123260987923,No
CUST00138,Male,0,Yes,Yes,68,Yes,No,No,Yes,No internet service,No internet service,Yes,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),44.33,3044.912036273833,No
CUST00139,Male,0,Yes,No,43,Yes,No,Fiber optic,No internet service,No,No,No internet service,Yes,No internet service,Month-to-month,Yes,Electronic check,107.75,4619.990886203304,No
CUST00140,Female,0,No,No,63,Yes,Yes,Fiber optic,No,No internet service,No internet service,No internet service,Yes,No internet service,Month-to-month,No,Mailed check,39.9,2539.3597918829114,No
CUST00141,Male,0,Yes,No,28,No,No phone service,No,Yes,No,No internet service,No,No,No internet service,Month-to-month,No,Bank transfer (automatic),98.7,2766.041617540671,No
CUST00142,Female,0,Yes,No,27,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),66.18,1773.3326335397742,No
CUST00143,Female,0,Yes,Yes,10,Yes,Yes,No,No,Yes,Yes,Yes,No internet service,No internet service,One year,Yes,Electronic check,119.91,1196.8003719350352,No
CUST00144,Female,0,Yes,No,64,Yes,No,Fiber optic,Yes,No internet service,No internet service,No,No internet service,No,Two year,Yes,Bank transfer (automatic),103.91,6625.165149222076,No
CUST00145,Male,1,No,No,18,No,No,DSL,No,No internet service,Yes,Yes,No internet service,No internet service,Month-to-month,No,Credit card (automatic),93.97,1695.7946672608855,No
CUST00146,Male,0,No,Yes,8,Yes,No phone service,DSL,Yes,No,No internet service,Yes,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),107.07,857.1710015872742,Yes
CUST00147,Male,0,Yes,Yes,26,Yes,No phone service,Fiber optic,No internet service,No,No,Yes,No internet service,No internet service,One year,Yes,Bank transfer (automatic),83.4,2178.948949222342,No
CUST00148,Male,0,Yes,No,33,Yes,No phone service,Fiber optic,Yes,Yes,Yes,No,No,No internet service,Month-to-month,Yes,Mailed check,104.37,3461.793047861695,No
CUST00149,Female,0,Yes,No,43,Yes,No,No,Yes,No,No internet service,No internet service,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),46.11,1985.042315537064,No
CUST00150,Male,0,Yes,No,67,Yes,No,DSL,No,Yes,No internet service,No internet service,Yes,Yes,Two year,No,Credit card (automatic),29.77,1965.0635669044507,No
CUST00151,Male,0,No,No,14,Yes,No,No,Yes,No internet service,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),81.59,1160.907266649461,No
CUST00152,Male,0,No,Yes,50,Yes,No phone service,Fiber optic,No,No,Yes,No internet service,Yes,No,Month-to-month,Yes,Credit card (automatic),63.47,3173.7932793355935,No
CUST00153,Male,0,Yes,Yes,12,Yes,Yes,Fiber optic,No internet service,No internet service,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),62.64,713.7987477787326,No
CUST00154,Male,0,Yes,Yes,48,Yes,No,No,No,No,No internet service,No internet service,No,No internet service,One year,Yes,Electronic check,72.67,3494.3522960792925,No
CUST00155,Female,0,Yes,No,69,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Mailed check,56.14,3881.3624794781654,No
CUST00156,Male,0,No,No,55,Yes,No,DSL,Yes,No internet service,No,No internet service,No,Yes,Two year,No,Electronic check,82.61,4536.380407181394,No
CUST00157,Female,0,Yes,No,50,Yes,Yes,No,No internet service,No internet service,No,Yes,Yes,No,Month-to-month,No,Mailed check,23.06,1149.0432628632577,No
CUST00158,Male,0,No,No,36,No,No,DSL,No,No,Yes,Yes,No,Yes,One year,No,Credit card (automatic),116.99,4199.734697772065,No
CUST00159,Female,0,Yes,Yes,16,Yes,Yes,DSL,Yes,No internet service,No,No,No,No internet service,Month-to-month,Yes,Mailed check,112.47,1807.8425335903125,No
CUST00160,Male,0,No,Yes,57,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),113.53,6474.009827699858,No
CUST00161,Male,1,Yes,No,28,Yes,Yes,No,No,No internet service,Yes,No,Yes,No internet service,Two year,Yes,Bank transfer (automatic),56.5,1563.835425994178,No
CUST00162,Female,0,No,Yes,32,Yes,No,Fiber optic,Yes,No internet service,No,Yes,No,No,Month-to-month,No,Electronic check,73.19,2374.439411575765,No
